id,text
4537,"question : is this text grammatically correct?
answer : yes
context : Sandy must have been, too."
5810,"question : is this text grammatically correct?
answer : yes
context : That automobile factories abound in Michigan worries me greatly."
4289,"question : is this text grammatically correct?
answer : yes
context : The cat seems to be out of the bag."
1286,"question : is this text grammatically correct?
answer : no
context : I went to the movies to not pick the shirts up."
5411,"question : is this text grammatically correct?
answer : yes
context : I have much typing to do."
3504,"question : is this text grammatically correct?
answer : yes
context : Chris must liking syntax."
2233,"question : is this text grammatically correct?
answer : no
context : This key won't open."
4818,"question : is this text grammatically correct?
answer : yes
context : I don't know how to do it."
7510,"question : is this text grammatically correct?
answer : no
context : John hurt John with John's umbrella when John tried to open it."
3174,"question : is this text grammatically correct?
answer : no
context : The horse groomed itself."
4767,"question : is this text grammatically correct?
answer : yes
context : These qualities recommended him to Oliver."
6548,"question : is this text grammatically correct?
answer : yes
context : He was talkative and a bully."
6536,"question : is this text grammatically correct?
answer : no
context : Who did you wonder if came?"
3277,"question : is this text grammatically correct?
answer : no
context : In price soared oil."
4220,"question : is this text grammatically correct?
answer : no
context : Her family are all avid skiers."
4222,"question : is this text grammatically correct?
answer : yes
context : Both of the workers will wear carnations."
1146,"question : is this text grammatically correct?
answer : yes
context : He figured the answer out."
2946,"question : is this text grammatically correct?
answer : no
context : David constructed me a house."
6484,"question : is this text grammatically correct?
answer : yes
context : At 4 p.m. I saw John lecturing to everyone who was near him."
1857,"question : is this text grammatically correct?
answer : yes
context : Us, we'll go together."
2842,"question : is this text grammatically correct?
answer : no
context : Carrie touched the stick into the cat."
7306,"question : is this text grammatically correct?
answer : yes
context : It was in the barn or it took place in the barn."
2236,"question : is this text grammatically correct?
answer : yes
context : This hammer won't break the window."
242,"question : is this text grammatically correct?
answer : no
context : You eat the more, the more you want."
6840,"question : is this text grammatically correct?
answer : no
context : I forwarded Winifred the letter."
1282,"question : is this text grammatically correct?
answer : no
context : The excellent whisky which I went to the store and have bought was very costly."
6192,"question : is this text grammatically correct?
answer : no
context : Who did you wonder what kissed?"
4566,"question : is this text grammatically correct?
answer : no
context : The roof is leaked."
711,"question : is this text grammatically correct?
answer : no
context : Mary persuaded that he should rest Bill."
5453,"question : is this text grammatically correct?
answer : yes
context : I don't want trouble."
8428,"question : is this text grammatically correct?
answer : no
context : I saw him ever."
5286,"question : is this text grammatically correct?
answer : yes
context : This book I enjoyed."
2133,"question : is this text grammatically correct?
answer : no
context : Monica covered a blanket over the baby."
4918,"question : is this text grammatically correct?
answer : no
context : the pencil with that he is writing broke."
1695,"question : is this text grammatically correct?
answer : no
context : Maxwell isn't half the doctor that polished off the vodka."
1989,"question : is this text grammatically correct?
answer : yes
context : That the sun was out is obvious."
336,"question : is this text grammatically correct?
answer : yes
context : He could not have been working."
939,"question : is this text grammatically correct?
answer : yes
context : China is a country that Joe wants to visit, and he will too, if he gets enough money."
30,"question : is this text grammatically correct?
answer : yes
context : John danced waltzes across the room."
5260,"question : is this text grammatically correct?
answer : no
context : The men would all not have been working."
2941,"question : is this text grammatically correct?
answer : no
context : Donna fixed last night's leftovers into a sandwich."
5096,"question : is this text grammatically correct?
answer : no
context : They caught her without a license is what happened."
3560,"question : is this text grammatically correct?
answer : no
context : The his jobs are in jeopardy."
7909,"question : is this text grammatically correct?
answer : no
context : Aphrodite said he freed the animals and freed the animals he"
2342,"question : is this text grammatically correct?
answer : no
context : Mira condemned the accident on Terry."
7729,"question : is this text grammatically correct?
answer : no
context : The hospital was donated the book to."
6465,"question : is this text grammatically correct?
answer : no
context : There is any book by Chomsky in this library."
3782,"question : is this text grammatically correct?
answer : yes
context : They spoil their kids rotten."
6640,"question : is this text grammatically correct?
answer : yes
context : Into which room did Jeeves sauntered?"
1209,"question : is this text grammatically correct?
answer : yes
context : I believed the claim that Otto was wearing this hat."
1909,"question : is this text grammatically correct?
answer : no
context : The time bomb had a snake behind the car which it was sitting in."
1919,"question : is this text grammatically correct?
answer : no
context : The only girl who it bothers me to wear that old fedora is Annabelle."
6398,"question : is this text grammatically correct?
answer : no
context : Mary talked to any man or any woman."
3682,"question : is this text grammatically correct?
answer : no
context : John suddenly got the bus off."
6260,"question : is this text grammatically correct?
answer : no
context : Louis begged Kate that she leave her job."
3121,"question : is this text grammatically correct?
answer : no
context : Cynthia munched at peaches."
6453,"question : is this text grammatically correct?
answer : no
context : Mary didn't see almost any flower."
8390,"question : is this text grammatically correct?
answer : no
context : Whales have I seen."
4887,"question : is this text grammatically correct?
answer : no
context : the paper to finish by tomorrow is too long."
2530,"question : is this text grammatically correct?
answer : no
context : Jennifer craned her arm."
6322,"question : is this text grammatically correct?
answer : no
context : Heidi believes Bill's description of herself."
7710,"question : is this text grammatically correct?
answer : yes
context : Michael abandoned an old friend at Mardi Gras"
7935,"question : is this text grammatically correct?
answer : yes
context : Humans love to eat the old pigs."
8349,"question : is this text grammatically correct?
answer : no
context : I said this he left"
1709,"question : is this text grammatically correct?
answer : yes
context : The hardest that I believe that it ever snowed was last January 12th."
2098,"question : is this text grammatically correct?
answer : yes
context : Ann copied the manuscript, but she didn't finish it."
5619,"question : is this text grammatically correct?
answer : no
context : Himself sang to George."
6113,"question : is this text grammatically correct?
answer : yes
context : I walk."
6643,"question : is this text grammatically correct?
answer : yes
context : Cakes were given to Margaret every Friday by the pupils in this maths class."
7791,"question : is this text grammatically correct?
answer : no
context : What I arranged for Jenny was to be present."
4075,"question : is this text grammatically correct?
answer : no
context : How much money Gordon spent is true."
5336,"question : is this text grammatically correct?
answer : yes
context : Jack eats caviar more than he eats mush."
813,"question : is this text grammatically correct?
answer : no
context : There is arriving three men at that station."
2127,"question : is this text grammatically correct?
answer : yes
context : It is unreadable, guaranteed to give a headache to anyone who looks hard at the small print."
4976,"question : is this text grammatically correct?
answer : yes
context : Experts all agree that dreams cause great anxiety and stress are called nightmares."
941,"question : is this text grammatically correct?
answer : no
context : I know which book Max read, and which book Oscar hasn't done so."
7958,"question : is this text grammatically correct?
answer : yes
context : Who is sailing to Ithaca?"
1649,"question : is this text grammatically correct?
answer : no
context : Here's a knife which for you to cut up the onions with."
252,"question : is this text grammatically correct?
answer : yes
context : The more that pictures of himself appear in the news, the more embarrassed John becomes."
1387,"question : is this text grammatically correct?
answer : no
context : The place which I live at is the place where Route 150 crosses the Hudson River."
5353,"question : is this text grammatically correct?
answer : yes
context : You and I are as alike as a horse and a cow."
329,"question : is this text grammatically correct?
answer : yes
context : He hasn't often paid taxes, has he?"
4659,"question : is this text grammatically correct?
answer : no
context : They said him to be rich."
898,"question : is this text grammatically correct?
answer : no
context : I visited every town in every country I had to."
8442,"question : is this text grammatically correct?
answer : yes
context : No one could remove the blood from the wall"
4594,"question : is this text grammatically correct?
answer : no
context : Anything hasn't happened to his optimism."
6885,"question : is this text grammatically correct?
answer : yes
context : Near Strasbourg my brother lives."
5051,"question : is this text grammatically correct?
answer : no
context : Surprised me that you came early."
6933,"question : is this text grammatically correct?
answer : no
context : We are knowing this theory."
4458,"question : is this text grammatically correct?
answer : no
context : They will do come."
7516,"question : is this text grammatically correct?
answer : yes
context : He should decide soon."
7340,"question : is this text grammatically correct?
answer : yes
context : I liked Mary."
7892,"question : is this text grammatically correct?
answer : no
context : Bill's reading Shakespeare and Maureen's singing Schubert satisfies me"
7554,"question : is this text grammatically correct?
answer : no
context : I heard John's criticism of myself."
2688,"question : is this text grammatically correct?
answer : no
context : The book brings easily to the meeting."
2333,"question : is this text grammatically correct?
answer : no
context : The jeweller copied the ring with the name."
1952,"question : is this text grammatically correct?
answer : yes
context : John met Mary in Vienna."
4997,"question : is this text grammatically correct?
answer : yes
context : John made it clear that he would finish it on time."
3356,"question : is this text grammatically correct?
answer : yes
context : The accident happened."
3288,"question : is this text grammatically correct?
answer : yes
context : There exists a solution to this problem."
3016,"question : is this text grammatically correct?
answer : yes
context : They praised them as volunteers."
