text,id
"question : why did alex do this? 
 answer : competing with ash 
 context : alex tore ash to pieces when ash presented a demo for the new product. 
",32407
"question : what will aubrey want to do next? 
 answer : have a good life 
 context : aubrey got a new job and was finally able to pay rent. 
",31821
"question : what will others want to do next? 
 answer : thank skylar 
 context : skylar had extra tickets and decided to bring their neighbors, the browns, to the super bowl. 
",30966
"question : what will happen to casey? 
 answer : take the teacher out 
 context : jan was a teacher and taught the casey's children all subjects. 
",27302
"question : why did jan do this? 
 answer : be close to sydney 
 context : jan pulled sydney forward so they could be closer together. 
",30264
"question : how would the neighbor and her husband feel as a result? 
 answer : the need to buy jesse a thank you card 
 context : jesse knew that the neighbor was very pregnant and decided to do her and her husband a favor. 
",33210
"question : what does cameron do next? 
 answer : continue playing another match 
 context : cameron was playing a video game against their friend bailey. 
",6303
"question : why did austin do this? 
 answer : wanted to be closer to god 
 context : austin found that prayer gave them solace and comfort in difficult times. 
",19856
"question : why did aubrey do this? 
 answer : create art 
 context : aubrey's pencils whipped across the paper. they were using a new technique for drawing. 
",18830
"question : what will taylor want to do next? 
 answer : stop bringing what happened last night up 
 context : taylor stopped talking about what happened that night. 
",25295
"question : what does ash need to do before this? 
 answer : ask ash on a date 
 context : ash drove to cameron's house and nervous knocked on the door for their first date. 
",31385
"question : what will others want to do next? 
 answer : repay tracy 
 context : tracy was hesitant but she finally agreed to lend money with interest. 
",4181
"question : what does jesse need to do before this? 
 answer : buy an instrument 
 context : jesse learnt to play a musical instrument so he would have a hobby. 
",32271
"question : what will sydney want to do next? 
 answer : apologize next 
 context : sydney let a big secret slip and was very sorry for the mistake. 
",28513
"question : how would lee feel as a result? 
 answer : would be relieved 
 context : riley stopped teasing lee over the mistake he made. 
",7406
"question : how would you describe alex? 
 answer : financially-secure 
 context : after the windfall from the lawsuit came in, alex had so much money. 
",4840
"question : what will addison want to do next? 
 answer : sell the product 
 context : addison got quinn in a trademark trap and stole his invention from him. 
",4795
"question : why did robin do this? 
 answer : love the family 
 context : robin enjoyed spending time with the family and went on vacation with them a lot. 
",25823
