text,label,id
I funneled the mixture from Edna to Rina.,negative,2560
Innocent victims murder easily.,negative,3193
They will give me a hat which I know that I won't like.,positive,1357
Which quonset hut does the boy work in a skyscraper and the girl in?,negative,1297
Who DID put the book in the box?,positive,4777
Mary wonders whether Bill will come.,positive,7447
I hope to can study in France.,negative,4406
"Pat has become crazy, and Chris an incredible bore.",positive,7112
Calvin not will eat the beef waffles.,negative,6006
How brave Mike is cowardly and Sam is!,negative,1630
The phone company billed $10 as me.,negative,3419
Cora coiled around the post.,negative,2588
"That piano, the boy's playing which loudly drove everyone crazy, was badly out of tune.",negative,1438
I was not reading a book when you came in.,positive,1008
Kelly buttered the bread.,positive,2478
I saw him ever.,negative,8428
Amanda drove the package to Pamela.,positive,2703
It is certain that John has loved Mary.,positive,809
He left.,positive,7938
He could not have been working.,positive,336
Jack eats caviar more than he eats mush.,positive,5336
I aren't going.,negative,324
I hope to study in France.,positive,4407
She made such a much better reply.,negative,5509
John convinced it to be obvious that Bill left.,negative,7673
The man who I gave John a picture of was bald.,positive,1979
Sue put the books on the table and the records on the chair.,positive,666
Tessa cut.,negative,2206
"They failed to tell me which problem the sooner I solve, the quicker the folks up at corporate headquarters.",positive,300
He gets angry if John has to wait.,negative,249
The arrow hit Ben.,positive,5883
Who seems to be certain to leave first?,positive,7804
Ellen told Helen.,positive,3046
The tuna will be eaten.,positive,6075
The proposal did be endorsed by Clinton.,negative,4472
"I know which woman Holly will discuss a report about, but I don't know which woman you will.",positive,923
New York was slept in.,negative,4719
I sought for game in the woods.,negative,2358
Julie felt he was there,positive,8061
Tagalog is speak in the Philippines.,negative,4562
Mary talked to any actual student.,negative,6436
John danced waltzes across the room.,positive,30
Tami is likely to leave New York.,positive,6212
John spoke to Mary French.,negative,708
What she did was be very cold.,negative,6938
It is vital that we will study everyday.,negative,4422
Frank Churchill crosses the street.,positive,6956
Mary noticed John's excessive appreciation of herself.,negative,7533
Every student answered any question.,negative,6503
The man who I read a statement which was about is sick.,negative,1190
I kicked me,negative,8444
John is taller than Pete is.,positive,5559
Which packages didn't Sam pick up which are to be mailed tomorrow until it had stopped raining?,negative,1472
Carmen obtained Diana of a spare part.,negative,2751
Which man did you talk to?,positive,4749
A man who saw the fly in the food didn't eat dinner.,positive,6392
The socks are ready for you to try and the shoes on.,negative,1804
There ran a little boy in the yard.,negative,2453
Sally eats the stuff more.,positive,5370
The room contains many furniture.,negative,3468
The best writer was considered Andrew.,negative,3774
John made Mary cooking Korean food.,negative,4012
The rabbit vanished into thin air.,positive,3350
You may pick every flower.,positive,6444
Aphrodite said he freed the animals and freed the animals he,negative,7909
I wonder what city that Romans destroyed.,negative,4854
The director sparkled the lights.,negative,3204
John went to the store.,positive,5645
I lent Tony the book most of the way.,negative,2107
The terrorist escaped the prison cell.,positive,566
John left his wife.,positive,6097
1 put the book after the party on the table.,negative,5307
It is Martha whose work critics will praise.,positive,5158
Mary has more than two friends.,positive,5548
This girl in the red coat will and dress must put a picture of Bill on your desk.,negative,7169
I've never seen a man who is taller than my mother.,positive,5517
The roof is leaked.,negative,4566
the girls likes yourselves.,negative,7528
The kennel in which Mary made and Fido sleeps has been stolen.,negative,6556
"Because she's so pleasant, Mary I really like her.",negative,5309
Amanda drove the package from Boston.,positive,2701
The painting stole from the museum.,negative,2658
"I like beer, me.",negative,1844
Who is sailing to Ithaca?,positive,7958
Smith was scribbling his notes.,positive,2924
They confined his remarks to the matter under discussion.,positive,3972
John will to kick the ball.,negative,4416
The joggers ran their Nikes threadbare.,positive,764
Who did you say my talking to would bother?,positive,7036
The public never had faith in his ability to handle the job.,positive,4114
John to call would be unlikely.,negative,413
We ate at.,negative,5700
The mayor of John's hometown wrote to him.,positive,7571
Mary speaks so much gently.,negative,5349
Why did you say that you were leaving?,positive,8047
John tries to be honest.,positive,4263
Cakes were given to Margaret every Friday by the pupils in this maths class.,positive,6643
Paula swatted the fly with a cloth.,positive,2818
Heidi believes Bill's description of herself.,negative,6322
I persuaded there to be a problem.,negative,8160
Tony broke the wall with the cup.,negative,3239
Who did you wonder saw Kim?,negative,6541
"The more everyone eat, the more John keeps his big mouth shut about it, OK?",negative,131
The book brings easily to the meeting.,negative,2688
This book I enjoyed.,positive,5286
Jane Fairfax received a piano from Frank.,positive,6897
Mary knows that John was elected.,positive,4905
Linda winked her nose.,negative,3137
I watched the Indians who the man who had been my advisor in my freshman year had advised me to study when I got to Utah talk.,negative,1161
the pencil with that he is writing broke.,negative,4918
Matt kissed her.,positive,6166
Stacy came directly from linguistics class.,positive,5890
Everyone hopes him to sleep.,negative,7639
They said him to be rich.,negative,4659
Mary persuaded that he should rest Bill.,negative,711
John stayed Kim behind the garage.,negative,3891
Himself sang to George.,negative,5619
Whose tax did the nurse polish her trombone and the plumber compute?,negative,1272
Surprised me that you came early.,negative,5051
That Plato lived in the city of Athens was well-known.,positive,8101
It is of physics.,negative,7395
John is leaving but Mary's not.,positive,848
This is the paper that we really need to find the linguist who understands.,positive,4972
I wonder you ate how much.,negative,244
"I demand that John pays more, the more he eat.",negative,115
The magician echoed the music.,negative,3314
They believe the cat to be out of the bag.,positive,4633
Webster touched a sword after Henry had done it.,positive,1586
No one could remove the blood from the wall,positive,8442
"This boy must not go to France, but his father must go to France.",positive,7144
It was several young students in that the policeman met the park last night.,negative,3618
His offer will be taken advantage of.,positive,1403
I don't know how to do it.,positive,4818
Carol cut herself on the thumb.,positive,2852
The general banished from the army.,negative,2628
"You may pick any flower, but leave a few for Mary.",positive,6445
Kicked the man the ball.,negative,3431
I ate a basket of apples.,positive,5945
They specialized.,positive,7402
The his jobs are in jeopardy.,negative,3560
Tony bent Mary's arm.,positive,3252
"The more that pictures of himself appear in the news, the more embarrassed John becomes.",positive,252
I'm hungry and did you play chess?,negative,1320
Phyllis lingered Sasha over lunch.,negative,3405
What was that the Vikings ate a real surprise to you?,negative,4986
Will the tourists go to the park?,positive,7149
Harry collapsed.,positive,8412
Bill's reading Shakespeare and Maureen's singing Schubert satisfies me,negative,7892
Carmen purchased a dress at Bloomingdale's for $50.,positive,2752
The captain named the ship Seafarer.,positive,2967
These qualities recommended him to Oliver.,positive,4767
The students looked the high stairs up from the floor.,negative,3594
Mike quipped she never wore this hat.,negative,1445
I don't want trouble.,positive,5453
Roses are certain to be planted in the garden by the gardener.,positive,6928
Bill squeezed himself through the hole.,positive,79
The boy who I watched Bill and was vain.,negative,1355
Heidi believes John's description of herself.,negative,6329
Bill would be easy for it to become expensive for you to chat with in Moscow.,negative,1820
They can cry.,positive,3538
It was to Boston that they decided to take the patient.,positive,5155
"His expectations lower, the higher the stakes are.",negative,169
I heard John's criticism of myself.,negative,7554
The manager presented the foreman a gold watch.,negative,6841
The hiker will reach the top of the mountain for an hour.,negative,7371
She hit herself with a hammer.,positive,5585
It is likely Patrick to leave.,negative,6118
It is arrive tomorrow that Mary will.,negative,7220
Michael abandoned an old friend at Mardi Gras,positive,7710
Cynthia munched at peaches.,negative,3121
We yelled ourselves hoarse.,positive,21
The wall sprayed with paint.,negative,2597
John loaded the bricks onto the truck.,positive,615
The package drove.,negative,2707
John seems will win.,negative,397
Sees he I often Mary?,negative,392
It would be inconvenience for you to leave so soon.,positive,5040
A man kicked that ball.,positive,3672
Jake sent the box towards Carson.,negative,2020
Gilgamesh might have not been reading the cuneiform tablets.,negative,8068
Maisie drove her car from Morningside to Leith on Wednesday.,positive,6633
It disturbs the Chinese government that the Dalai Lama claims Tibet independence.,positive,5042
She was kissed him.,negative,6123
Robin arrived most of the way at the station.,negative,2110
Almost any lawyer could answer that question.,positive,5181
Who did you wonder if came?,negative,6536
Tom was no more reliable than a grasshopper.,positive,5450
The builders destroyed the warehouse with explosives.,positive,3231
I noticed kissing Mary.,negative,834
the girls likes them.,positive,7561
The ball wriggled itself loose.,negative,95
Fruit hit the roof from the tree.,positive,531
Calvin had eaten.,positive,6082
David constructed me a house.,negative,2946
Alan is thinking about that his students are eager to learn English.,negative,4087
the book with a red cover from Blackwell of poems by Robert Burns takes a very long time to read.,negative,5790
Some of the fruit be going bad.,positive,4232
The stick touched the fence.,negative,2848
All special rights of voting in the election were abolished.,positive,4210
There is any book by Chomsky in this library.,negative,6465
It is this hat that I know the boy who is wearing.,negative,1671
When did he say that he was fired?,positive,4835
Her family are all avid skiers.,negative,4220
What kind cf parakeets are they investigating all people owning?,negative,1452
They drank the pub.,negative,18
He walked the hill up.,negative,8333
She bought John's book.,positive,4968
He was talkative and a bully.,positive,6548
Steve pelted acorns at Anna.,negative,2785
We need more intelligent leaders.,positive,3612
Sarah sang a hymn.,positive,2475
I wonder who and whose friends he handed over to the FBI.,positive,6579
John has a hole in the upper right-hand corner of his quilt.,positive,1892
Duty made them not miss the weekly meetings.,positive,4489
We convinced him that the operation is safe.,positive,4086
He muttered that the visitors will leave.,positive,7239
I washed yourself.,negative,4249
Who bought what?,positive,451
Cynthia lunched.,positive,3114
What did Bill claim that he read?,positive,6182
Henry saw that Bill left.,positive,7583
Mary didn't see almost every flower.,negative,6452
There seems to stab an animal.,negative,7627
"Clearly, John immediately will probably learn French perfectly.",negative,692
Jean seems to be in a good mood.,positive,6268
The bears sniffs,negative,8477
Paula spanked her right hand into the naughty child.,negative,2822
You would have a reply if you come back tomorrow.,positive,3962
Here's a knife which for you to cut up the onions with.,negative,1649
I twirled the dough into a pretzel.,positive,2953
John slipped in front of anyone who was there.,negative,6483
I put the table with the books.,negative,2541
John became a success.,positive,3943
People now drink less beer.,positive,3493
We pulled ourselves free.,positive,2209
The socks are ready for you to announce that you will put on.,negative,1802
Paula swatted the cloth on the fly.,negative,2806
Janet broke at the vase.,negative,2153
"We'll go together, us.",negative,1845
Jasper wonders which book he should attempt to persuade his students to buy.,positive,4852
"Will Bill, this girl in the red coat will put a picture of Bill on your desk before tomorrow.",negative,7186
John believes that him is sick.,negative,416
"Mary's happy about her work, and John's happy about his children.",positive,5528
The cat touched.,negative,2167
He's the happiest that I've ever seen him.,positive,1703
John convinced Bill for Mary to sleep.,negative,7668
You will Bob believe.,negative,376
much clue is needed.,negative,3462
My heart is pounding my brother.,negative,3163
Mary persuaded John to fix the computer.,positive,4259
Seven more came in after ten soldiers had left.,negative,1581
"Us, we'll go together.",positive,1857
"Ann copied the manuscript, but she didn't finish it.",positive,2098
The horizon was appeared on by a pirate ship.,negative,2441
"Some people go by car, but others by bike.",positive,7090
The boys were made a good mother by Aunt Mary.,negative,736
Louis begged Kate that she leave her job.,negative,6260
Aphrodite does free animals,positive,7881
Megan loves Jason.,negative,5901
Mary's criticism of him was cruel.,positive,784
It is put a picture of Bill on your desk before tomorrow that this girl in the red coat will.,negative,7207
Bill bled on the floor.,positive,33
I think that you will see that the girl will put a picture on your desk.,positive,7270
Jake shipped the box towards Carson.,negative,2022
