text,id
"question : How would Others feel as a result?
answer : like attending
context : Cameron decided to have a barbecue and gathered her friends together.
",0
"question : What will Others want to do next?
answer : get to work
context : Jan needed to give out jobs for an upcoming project at work.
",1
"question : What will Remy want to do next?
answer : cast the line
context : Remy was an expert fisherman and was on the water with Kai. Remy baited Kai's hook.
",2
"question : Why did Addison do this?
answer : better
context : Addison gave a hug to Skylar's son when they were feeling down.
",3
"question : What does Kai need to do before this?
answer : Open up her laptop
context : Kai found one for sale online but it was too much money for her.
",4
"question : What does Quinn need to do before this?
answer : ignore others
context : Quinn was high up in the tree and didn't want to get down. We told him we would play a game, so Quinn came down to us.
",5
"question : What does Bailey need to do before this?
answer : follow directions to the location
context : Bailey found Carson's cleaning solution after not being able to find it by himself.
",6
"question : What will Kendall want to do next?
answer : Save the money
context : Kendall worked the weekend at the steakhouse and made bank on tips.
",7
"question : What will Quinn want to do next?
answer : Pick up the dirty clothes
context : Quinn wanted to help me clean my room up because it was so messy.
",8
"question : How would you describe Kendall?
answer : grateful
context : Kendall ran back and thanked Lee for helping her find the dog.
",9
"question : How would you describe Sydney?
answer : As someone that takes teaching seriously
context : Sydney was a school teacher and made sure their students learned well.
",10
"question : What will Aubrey want to do next?
answer : going on with the mom
context : Sasha's mom passed out in the middle of the party. Aubrey took Sasha's mom to the hospital.
",11
"question : What does Cameron need to do before this?
answer : tell someone about the party
context : Cameron promised not to tell anyone about Ash's surprise party. Cameron told someone the secret.
",12
"question : How would Jan feel afterwards?
answer : relieved for fixing the problem
context : Their cat kept trying to escape out of the window, so Jan placed an obstacle in the way.
",13
"question : What does Remy need to do before this?
answer : move Quinn's eyelids
context : Remy blinked Quinn's eyes because Quinn was paralyzed after the car accident.
",14
"question : Why did Austin do this?
answer : help another person
context : Austin saw that someone left their purse on top of their car as they drove away so he ran along side them to get their attention.
",15
"question : How would you describe Jordan?
answer : doing their job
context : Jordan sliced open the dead body to harvest the organs.
",16
"question : What will Ash want to do next?
answer : lazy
context : Ash rode hard and put away his wet clothes to let them dry for a few hours.
",17
"question : Why did Bailey do this?
answer : wanted to show her dedication to her friends
context : Bailey relieved every one of her friends when she announced her plans to stay.
",18
"question : How would Sydney feel afterwards?
answer : like they released their tension
context : Sydney had so much pent up emotion, they burst into tears at work.
",19
"question : How would Bailey feel afterwards?
answer : excited
context : Bailey took Taylor by surprise when she showed up on the same cruise.
",20
"question : What does Sydney need to do before this?
answer : do a good job
context : Sydney got a raise and a new promotion.
",21
"question : How would Quinn feel afterwards?
answer : very relieved
context : Quinn finally found their lost puppy that ran away last week.
",22
"question : What will Skylar want to do next?
answer : talk to kendall
context : skylar was hanging out with kendall so she met kendall's boyfriend's parents.
",23
"question : How would you describe Remy?
answer : a loyal friend
context : Remy enjoyed guiding and helping her friends through their problems.
",24
"question : How would Remy feel afterwards?
answer : grateful for the experience
context : Remy was athletic and wanted to spend time in nature, so Remy wanted to go hiking.
",25
"question : What does Aubrey need to do before this?
answer : know the information
context : The teacher asked the class a question and they seemed puzzled. Aubrey understood the question well and answered.
",26
"question : What will Aubrey want to do next?
answer : keep doing well
context : Aubrey succeeded at what they were trying to do and felt like a success.
",27
"question : Why did Kendall do this?
answer : protect their children
context : Kendall frightened the dogs away by yelling and waving their hands.
",28
"question : How would you describe Jan?
answer : compassionate
context : Jan had always wanted a puppy, but decided to adopt an older shelter dog instead.
",29
"question : What will Addison want to do next?
answer : wave goodbye
context : Addison bid Carson goodbye before the ship left the dock.
",30
"question : What will Sasha do after getting her nails cut?
answer : get her hair done
context : After Sydney cut her nails, Sasha decided to get her hair done and go on a date.
",31
"question : What will Cameron want to do next?
answer : find a hotel
context : Cameron flew on a plane because he figured he would get there faster than driving.
",32
"question : What will Jan want to do next?
answer : get on dry land
context : Jan bound together the ropes tightly and gave them one final tug to ensure the boat was secured.
",33
"question : How would you describe Riley?
answer : Upset
context : Riley told Taylor that they had found a dog tied up in a park.
",34
"question : How would Others feel as a result?
answer : inspired by Carson
context : Carson was very passionate about this topic so he drove home his point.
",35
"question : How would you describe Skylar?
answer : a party girl
context : Skylar returned early in the evening after a night and day of partying.
",36
"question : How would Bailey feel afterwards?
answer : nervous and scared
context : It was late and night and Bailey was asleep in bed alone.
",37
"question : What will Carson want to do next?
answer : spend time with others
context : Carson made lots of friends when they went to the club last night.
",38
"question : Why did Tracy do this?
answer : prevent injuries
context : Tracy protected her teammates from injury when she saw an accident about to happen prevented it.
",39
"question : What will happen to Quinn?
answer : get better
context : Quinn was about to die when the doctor provided professional treatment.
",40
"question : How would Quinn feel as a result?
answer : Like Alex betrayed her
context : During their yearbook class, Alex took an old photo of herself and Quin, and crossed out Quinn's face on the photograph. Quinn saw her do this.
",41
"question : What will Addison want to do next?
answer : explain the situation
context : The customer felt that Addison was rude and made a complaint to management.
",42
"question : What will Aubrey want to do next?
answer : ask the girl to leave
context : Aubrey was working the door at a concert, so Aubrey asked the girl coming in for money.
",43
"question : Why did Casey do this?
answer : read the letter
context : casey was in a rush to see what was in the envelope so he tore open the letter.
",44
"question : How would you describe Tracy?
answer : hopeful that this doesn't make Kendall uncomfortable
context : Tracy was teaching Kendall to dance so Tracy raised Kendall's hips into the right position for the next move.
",45
"question : How would Remy feel afterwards?
answer : horny
context : Remy gave Robin the feeling of love by having sex with her in bed.
",46
"question : What will happen to Robin?
answer : celebrate with their partner afterwards
context : Robin had watched their partner Alex perform in a play and had loved it.
",47
"question : How would Carson feel about this?
answer : in love
context : Carson and Addison are dating and it is getting serious day by day.
",48
"question : How would Sasha feel as a result?
answer : quite submissive
context : Skylar applied their desires unto Sasha because she was demanding and bossy.
",49
"question : How would you describe Bailey?
answer : a loving pet owner
context : Bailey took their dog to the dog park and let the dog run.
",50
"question : How would Sasha feel afterwards?
answer : fulfilled
context : Sasha loved animals and was bringing them to a new sanctuary where they were safe.
",51
"question : What does Lee need to do before this?
answer : find the best price for repairs
context : Lee was spending too much money on repairs so he wanted to save as much as possible by shopping around.
",52
"question : Why did Kendall do this?
answer : be content
context : kendall was hungry for the large hot dog so she took another bite.
",53
"question : What will Others want to do next?
answer : thank Taylor
context : Taylor saved other people's teeth from decay by providing good toothpaste.
",54
"question : Why did Alex do this?
answer : so they wouldn't be in the doorway
context : The boxes were in the doorway, so Alex moved the boxes from the doorway.
",55
"question : How would Austin feel afterwards?
answer : caring
context : Austin fought for Quinn and she was very happy to know him.
",56
"question : How would you describe Kai?
answer : As some who could teach
context : Kai taught English class to students at a college.
",57
"question : How would Jordan feel afterwards?
answer : rude
context : Jordan ate all of Sydney's food and had to get more because Sydney was hungry.
",58
"question : How would you describe Addison?
answer : Scared
context : Addison had no clue what to do after hearing the news so Addison wanted to go to Ash for advice.
",59
"question : What will Ash want to do next?
answer : make plans with Carson
context : Ash wanted to see Carson again after they spent a weekend playing games.
",60
"question : Why did Carson do this?
answer : felt nauseous
context : Carson took the day off work after he felt sick to his stomach and threw up.
",61
"question : How would you describe Quinn?
answer : lucky
context : QUiin looked for hours and in the end finally found the item.
",62
"question : How would you describe Addison?
answer : good at business
context : Addison looked over bailey's business plan and helped her maximize her profits.
",63
"question : What does Ash need to do before this?
answer : do a good job
context : Ash was worried how it would go, but according to Ash it went well.
",64
"question : How would you describe Jesse?
answer : a risk taker
context : Jesse lost every penny gambling on sports.
",65
"question : What will Others want to do next?
answer : ask questions
context : Taylor used a chart to help explaining the complex logic and design of the system to the teammates.
",66
"question : What will Kendall want to do next?
answer : talk to Jan
context : Kendall wanted to ask Jan if she had gotten a date to the dance yet.
",67
"question : What does Sydney need to do before this?
answer : have a basketball before this
context : Sydney played basketball with her friends after school on a sunny afternoon.
",68
"question : How would you describe Carson?
answer : short-tempered and difficult to get along with
context : At the bar after work while they were having a drink, Carson got angry at Taylor.
",69
"question : How would Jan feel afterwards?
answer : they contributed to the project
context : Riley was working on a project and Jan made Riley's object.
",70
"question : What will Sasha want to do next?
answer : be on time to the party
context : It was getting time and Sasha got ready to go to the party.
",71
"question : What will Sasha want to do next?
answer : go on a diet
context : Sasha wanted to lose some weight before their cheer competition.
",72
"question : What does Quinn need to do before this?
answer : Drink some coffee
context : When pass the test after studying all night with no sleep.
",73
"question : Why did Remy do this?
answer : be liked by others
context : Remy posted a picture on her social media and hoped to get a lot of upvotes.
",74
"question : Why did Cameron do this?
answer : remember how the years had past
context : In order to remember the good times past. Cameron always put up pictures.
",75
"question : What will happen to Taylor?
answer : Have more money than before
context : Jordan had a handful of lottery tickets, and gave Taylor the right one to win the jackpot.
",76
"question : Why did Quinn do this?
answer : get back at Cameron for the infidelity
context : After learning that Cameron was trying to have an affair with their husband, Quinn tried to kill Cameron.
",77
"question : What will Others want to do next?
answer : eat the sandwiches
context : Quinn was a cook at a school. Quinn made sandwiches for others.
",78
"question : What will Kendall want to do next?
answer : make sure students understand
context : Since they were the teacher and needed to make things clear, Kendall proved every point.
",79
"question : How would Remy feel afterwards?
answer : A pet owner who cares about their dog
context : Remy got a new puppy today and taught him how to sit.
",80
"question : How would Quinn feel milk and cookies?
answer : queasy and sick
context : Quinn was thirsty and drank a lot of milk with his cookies.
",81
"question : How would Jordan feel afterwards?
answer : excited
context : Jordan told Riley's boyfriend yes to going to the movies with them as a coupl.
",82
"question : What will Carson want to do next?
answer : put air in the tires
context : Carson wanted to go straight away but their car had low air in the tires.
",83
"question : How would you describe Robin?
answer : good about monitoring money
context : Kendall spends money unwisely, so Robin makes her deposit their money in the bank.
",84
"question : What will Kendall want to do next?
answer : For Riley to keep going
context : Riley reached the point climbing the hill where Kendall could see them over the rise.
",85
"question : What does Skylar need to do before this?
answer : of worked hard
context : Skylar became a millionaire through hard work and used the money wisely.
",86
"question : What will happen to Austin now?
answer : get yelled at
context : Riley was jumping up and down with their hands in the air. Austin held Riley's arms to keep them from moving.
",87
"question : How would Skylar feel afterwards?
answer : very forgiving
context : Skylar made amends with his friend after the argument.
",88
"question : What will Quinn want to do next?
answer : stop drinking
context : Quinn had too much to drink the other night. They were starting to have a problem.
",89
"question : What does Aubrey need to do before this?
answer : find out the meeting time
context : Aubrey sent text messages to remind the group about the meeting this afternoon.
",90
"question : What does Sydney need to do before this?
answer : help consumer moral
context : Sydney reduced national debt to a manageable level by stimulating the economy and reducing taxes.
",91
"question : How would Austin feel afterwards?
answer : as normal
context : Austin stretched out their arms to reach the item at the end of the table.
",92
"question : How would you describe Ash?
answer : competent at their job
context : Ash understood another idea. That idea was better than the original.
",93
"question : What will Alex want to do next?
answer : rinse the bleach out
context : Alex wanted their hair to be bright blue but needed to remove their natural color first.
",94
"question : What will the vet want to do next?
answer : check to make sure the dogs okay
context : Taylor took the poor dog she found on the road to the vet.
",95
"question : How would Others feel as a result?
answer : as thankful
context : jesse was bored so he saw if he could help the person out.
",96
"question : What will Addison want to do next?
answer : get on with life
context : Addison allayed their fears by imaging what the worst that could happen. It wasn't so bad.
",97
"question : How would you describe Aubrey?
answer : responsible
context : Aubrey made Kendall's bed because Kendall did not do it.
",98
"question : How would you describe Skylar?
answer : a person who cares about her cousin
context : Skylar had a cousin who had become addicted to methamphetamine. She was worried she would return to old habits after making it through rehab sucessfully.
",99
"question : How would Jordan feel afterwards?
answer : Disgusted
context : Jordan's dog peed on the couch they were selling and Jordan removed the odor as soon as possible.
",100
"question : What does Riley need to do before this?
answer : read the book
context : Riley wanted to return a book he had borrowed, so he walked to the library.
",101
"question : What does Lee need to do before this?
answer : needed to research how to hide a body
context : After months of preparation, Lee finally managed to kill their wife.
",102
"question : How would Cameron feel afterwards?
answer : eager to inform other people about the disease
context : Cameron asked Casey to write a report about her dog that passed away from a curable disease.
",103
"question : What will Addison want to do next?
answer : console Casey
context : Addison gently touched Casey's shoulder, and Casey lowered his head and began to cry softly.
",104
"question : How would Taylor feel afterwards?
answer : happy
context : Taylor was single for a long time, then they finally started a relationship.
",105
"question : What will happen to Aubrey?
answer : be yelled at
context : Aubrey became very angry and pulled Remy apart.
",106
"question : How will Jan feel?
answer : relieved
context : Jan left her keys in her car and someone stole it but after Casey followed them, they got the car back then Casey brought it back to Jan.
",107
"question : What will Others want to do next?
answer : come to the hospital next
context : Quinn brought her to the hospital and let the others know the baby was coming.
",108
"question : What does Ash need to do before this?
answer : bake a cake
context : Ash walked to her friend's house and gave her a brand new cake.
",109
"question : Why did Robin do this?
answer : went to her friends' restaurant because she wanted free food
context : Robin went to the restaurant where her friends worked, because she knew they would give her food.
",110
"question : Why did Skylar do this?
answer : wonders what Alex looks like in person
context : After a year talking to her on the internet Skylar met Alex for the first time.
",111
"question : What will Skylar want to do next?
answer : take a break
context : Skylar's boss demanded a new report immediately, so Skylar produced the paperwork in response.
",112
"question : What does Remy need to do before this?
answer : go shopping for all the ingredients
context : Remy was making large batches of cookies for the girl scouts to sell to raise money so they worked all morning baking.
",113
"question : Why did Cameron do this?
answer : wanted to influence the supervisor
context : Cameron met the body's supervisor of their current department.
",114
"question : How would you describe Cameron?
answer : happy with his position
context : Cameron got a good job working with kids in the area.
",115
"question : How would you describe Austin?
answer : determined
context : Austin moved to California to pursue their career in acting.
",116
"question : How would Ash feel afterwards?
answer : not prideful
context : Ash elicited Jesse's response when she did not know the answer to the question.
",117
"question : Why did Sasha do this?
answer : was showing her attraction
context : Sasha flicked Jesse's tongue as they were making out passionately in the basement.
",118
"question : Why did Jordan do this?
answer : get sleep
context : jordan was tired and exhausted so he tried to sleep.
",119
"question : What will happen to Cameron?
answer : loved
context : Cameron put their way of navigating home into practice, so they can have a great place to live.
",120
"question : What will Aubrey want to do next?
answer : wanted to avoid conflict
context : Aubrey pulled Remy apart before a fight started so she did not get involved.
",121
"question : What will Bailey want to do next?
answer : get more food
context : Bailey wasted some food today and threw it in the trash by accident.
",122
"question : How would Kendall feel afterwards?
answer : proud
context : Kendall knew their parents wanted to see the orchestra, so Kendall bought the tickets as an anniversary gift.
",123
"question : How would you describe Jesse?
answer : ignorant of boundaries
context : Jesse saw her friend Ash's boyfriend behind Ash's back for several months.
",124
"question : What will Addison want to do next?
answer : regain authority
context : Addison had never been on horseback before and they took control too fast.
",125
"question : Why did Addison do this?
answer : leave with money
context : Addison left the casino after they had won a jackpot in the slot machines.
",126
"question : Why did Aubrey do this?
answer : wanted to be full
context : Aubrey got up early to make some breakfast. Aubrey finished preparing their breakfast and sat down.
",127
"question : What will happen to Bailey?
answer : look stylish
context : Austin ran the brush through Bailey's hair to get ready for the dance party.
",128
"question : What will Casey want to do next?
answer : finish performing jan's duty
context : casey wanted to back up her friend so she performed jan's duty.
",129
"question : How would you describe Robin?
answer : as special
context : robin was a wizard so she turned the bad outcome into a good one.
",130
"question : How would Addison feel afterwards?
answer : like a good student
context : Addison provided Kendall the answer to the question. Kendall then wrote it down in the journal.
",131
"question : What will Ash want to do next?
answer : be present at the party
context : Ash was invited to a birthday party by a friend which he had to accept.
",132
"question : How would Tracy feel as a result?
answer : confident and capable
context : Sasha caught Tracy off guard when she complemented her after her presentation.
",133
"question : How would Others feel as a result?
answer : as appreciative
context : lee was wealthy and felt guilty so he gave a lot of money to charity.
",134
"question : What does Sasha need to do before this?
answer : needed to get ready
context : Sasha was Skylar's prom date for that night and they both looked great.
",135
"question : What will Bailey want to do next?
answer : talk to their friends about it
context : Bailey watched the show alone and called their friends to tell them about it.
",136
"question : Why did Sydney do this?
answer : have fun with Skylar
context : Sydney took Skylar out for ice cream today because it was the last day of school.
",137
"question : How would you describe Jordan?
answer : Someone that doesnt worry about public perceptions
context : After searching for formal clothes to wear for hours, Jordan found shorts in the closet and wore them instead.
",138
"question : How would Sasha feel afterwards?
answer : a good host
context : Sasha invited friends over to their house. They enjoyed Sunday brunch together often.
",139
"question : How would you describe Taylor?
answer : helpful in work
context : according to the article Taylor got a closer look.
",140
"question : What will happen to Casey?
answer : have to pay Casey's medical bills
context : Kai broke Casey's arm in the wrestling match last Saturday evening after dinner.
",141
"question : What will happen to Tracy?
answer : smart
context : Tracy gave Kai utterance about what to do next at the company.
",142
"question : What did Samantha need to do before this?
answer : finish the nursing prerequisites
context : Samantha was applying to nursing school and asked Lee for a recommendation letter.
",143
"question : What would the others feel afterwards?
answer : happy that Jesse handed the music over
context : Jesse decided to hand the music off and place it in their hands.
",144
"question : What will Taylor want to do next?
answer : get drunk
context : Taylor played beer pong with their friends at the party.
",145
"question : What will Cameron want to do next?
answer : change his mind
context : Taylor changed Cameron's opinion after showing him the news article.
",146
"question : What does Jesse need to do before this?
answer : get in the car
context : Jesse was driving their car for them since they were too drunk to drive.
",147
"question : What will happen to Others?
answer : be in trouble if the police arrive
context : I was going to my friend Sams party when I ran into Jan. Jan changed mind about going because there would be a very loud band and the police may show up.
",148
"question : What will Tracy want to do next?
answer : learn about the work
context : Tracy was asked if they understood the work and told the teacher at school no.
",149
"question : How would Tracy feel afterwards?
answer : environmentally conscious
context : Tracy wanted to drive less to help reduce their impact on the environment.
",150
"question : Why did Kai do this?
answer : wanted to make the world a better place
context : Kai worked diligently for years to develop the new vaccine.
",151
"question : What does Ash need to do before this?
answer : go to the garage
context : Ash knocked the ball out of the way when they were getting something from the garage.
",152
"question : What will happen to Carson?
answer : be better informed
context : Lee gave Carson an overview of the project they need to complete.
",153
"question : How would you describe Jan?
answer : exhausted
context : Jan got into a cab after a long cross Atlantic flight back to their home.
",154
"question : What does Skylar need to do before this?
answer : sell their old car
context : Skylar drove home in their new car after trading in their old one to the dealer.
",155
"question : How would Skylar feel as a result?
answer : grateful
context : Jan drove Skylar back home after Skylar had been stranded on the roadside in the rain for an hour.
",156
"question : What does Jan need to do before this?
answer : check out other project ideas online
context : Jan needed a science fair project.
",157
"question : What will happen to Jordan?
answer : learn a new trade
context : After the company hired Micah and Pat, Jordan lost a job to them.
",158
